player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P001602,001602,paulius-dambrauskas,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/paulius-dambrauskas/profile/001602/,PAULIUS,DAMBRAUSKAS,195,Guard,Lithuania,1991-12-16T00:00:00,LIE,Lietuvos Rytas Vilnius,ok
P005942,005942,nemanja-dangubic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/nemanja-dangubic/profile/005942/,NEMANJA,DANGUBIC,204,Forward,Serbia,1993-04-13T00:00:00,DUB,Dubai Basketball,ok
PTFQ,TFQ,erik-daniels,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/erik-daniels/profile/TFQ/,ERIK,DANIELS,204,Forward,United States of America,1982-04-01T00:00:00,ROM,Lottomatica Roma,ok
P011206,011206,troy-daniels,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/troy-daniels/profile/011206/,TROY,DANIELS,193,Guard,United States of America,1991-07-15T00:00:00,MIL,AX Armani Exchange Milan,ok
P004370,004370,will-daniels,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/will-daniels/profile/004370/,WILL,DANIELS,203,Forward,United States of America,1986-04-21T00:00:00,LMG,Limoges CSP,ok
P000483,000483,tremmell-darden,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/tremmell-darden/profile/000483/,TREMMELL,DARDEN,194,Forward,United States of America,1981-12-17T00:00:00,OLY,Olympiacos Piraeus,ok
PTGS,TGS,matteo-da-ros,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/matteo-da-ros/profile/TGS/,MATTEO,DA ROS,200,Forward,Italy,1989-09-25T00:00:00,VIR,Virtus VidiVici,ok
PTEW,TEW,kendall-dartez,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/kendall-dartez/profile/TEW/,KENDALL,DARTEZ,208,Center,United States of America,1980-12-01T00:00:00,ROA,Chorale Roanne,ok
PJPR,JPR,vladimir-dasic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/vladimir-dasic/profile/JPR/,VLADIMIR,DASIC,208,Forward,Montenegro,1988-05-13T00:00:00,BES,Besiktas JK Istanbul,ok
P011244,011244,oscar-da-silva,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/oscar-da-silva/profile/011244/,OSCAR,DA SILVA,205,Forward,Germany,1998-09-21T00:00:00,MUN,FC Bayern Munich,ok
A15DSO,A15DSO,octavio-da-silveira,none,,,,,,,,,,not_found (http_404)
